,UVG Video Src,Instance Name,CurEpoch,Train Time,Compression Method,Compression Encoding Time,Compression Decoding Time,"FPS (Quantized, Full Pass)","FPS (Quantized, Forward Pass)","FPS (Full Model, Full Pass)","FPS (Full Model, Forward Pass)",Encoding / Training Time Total (Full Pass),Encoding / Training Time Total (Forward Pass),Encoding / Training Time per Epoch (Full Pass),Encoding / Training Time per Epoch (Forward Pass),Split,Embed,Crop,Resize,Lr_type,LR (E-3),Batch,Size (M),ModelSize,Epoch,Loss,Act,Norm,FC,Reduce,ENC_type,ENC_strds,KS,enc_dim,DEC,DEC_strds,lower_width,Quant,bits/param,bits/param w/ overhead,bits/pixel,PSNR_list_50,best_pred_seen_psnr,best_pred_seen_ssim,best_pred_unseen_psnr,best_pred_unseen_ssim,best_quant_seen_psnr,best_quant_seen_ssim,best_quant_unseen_psnr,best_quant_unseen_ssim,pred_seen_psnr,pred_seen_ssim,pred_unseen_psnr,pred_unseen_ssim
0,beauty,beauty_4_12,300,0:15:46.966341,huffman,0.066009521484375,1.5153629779815674,7.4315769517328025,8.27340089257095,5.942821842325438,6.468117261211496,157.3384304046631,3.364957332611084,0.5244614346822103,0.011216524442036949,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M4_E12,4.073188645195532,4.539657447360291,0.12251123046875,"14.22,24.1,25.65,26.38,26.64,26.68,26.68,26.68",26.68,0.8282,0.0,0.0,25.22,0.8122,0.0,0.0,26.68,0.8282,0.0,0.0
1,beauty,beauty_32_2,300,0:15:48.059199,huffman,0.06378006935119629,0.6671416759490967,7.337984702268067,8.157002159192954,5.973090287667331,6.5050055755365,157.4264590740204,3.366951704025269,0.524754863580068,0.011223172346750895,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E2,1.243753966280833,1.2467989977664855,0.033647225839120366,"24.53,27.58,28.62,29.19,29.46,29.51,29.51,29.51",29.51,0.8811,0.0,0.0,25.06,0.8118,0.0,0.0,29.51,0.8811,0.0,0.0
2,honeybee,honeybee_8_6,300,0:16:27.578649,huffman,0.06611442565917969,2.6252427101135254,7.316381340044472,8.130654844406363,5.910132062995976,6.429729749409713,157.1879127025604,3.396846294403076,0.5239597090085347,0.011322820981343587,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.897998816565668,8.364467618730428,0.22573095703125,"23.21,27.66,29.29,30.33,30.73,30.79,30.79,30.79",30.79,0.9619,0.0,0.0,30.76,0.9617,0.0,0.0,30.79,0.9619,0.0,0.0
3,bosphorus,bosphorus_8_18,300,0:15:44.278635,huffman,0.06676101684570312,2.6844215393066406,7.369738032181844,8.197916269651634,5.9437229467902455,6.470661787024362,157.4425597190857,3.336202383041382,0.5248085323969524,0.01112067461013794,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E18,7.920185864861986,8.38393129379662,0.2262562210648148,"23.26,26.35,26.96,27.21,27.31,27.32,27.32,27.32",27.32,0.8507,0.0,0.0,27.31,0.8503,0.0,0.0,27.32,0.8507,0.0,0.0
4,beauty,beauty_8_6,300,0:15:48.099681,huffman,0.06599020957946777,2.6563682556152344,7.357511608203188,8.183620579904268,5.9118189400583745,6.433366413021637,157.36213850975037,3.413690090179444,0.5245404616991679,0.011378966967264809,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.945206186292398,8.41167498845716,0.22700493706597225,"15.44,24.02,25.32,25.71,26.01,26.08,26.08,26.08",26.08,0.8214,0.0,0.0,25.61,0.8164,0.0,0.0,26.08,0.8214,0.0,0.0
5,bosphorus,bosphorus_32_18,300,0:15:29.355316,huffman,0.06763792037963867,0.7060041427612305,7.303396338118911,8.117758971902473,5.948013253720252,6.476339296054103,157.37889385223392,3.315032958984375,0.5245963128407797,0.01105010986328125,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E18,1.4293313462001105,1.429653004455637,0.03858188657407407,"23.33,26.35,26.98,27.34,27.31,27.33,27.33,27.33",27.34,0.8504,0.0,0.0,27.3,0.85,0.0,0.0,27.33,0.8504,0.0,0.0
6,bosphorus,bosphorus_8_6,300,0:15:49.175426,huffman,0.06607961654663086,2.626463890075684,7.333042235803861,8.154191308269857,5.891778376183995,6.408930902323222,157.38934111595154,3.318695545196533,0.5246311370531718,0.011062318483988445,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E6,7.922351697115864,8.388820499280625,0.22638816550925925,"23.33,26.36,26.99,27.32,27.49,27.53,27.53,27.53",27.53,0.8539,0.0,0.0,27.19,0.8484,0.0,0.0,27.53,0.8539,0.0,0.0
7,beauty,beauty_8_2,300,0:15:49.605595,huffman,0.06600141525268555,2.631109952926636,7.311318168764335,8.124969005702951,5.941836835159978,6.467421607085584,157.4697222709656,3.3528139591217037,0.5248990742365519,0.01117604653040568,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E2,7.941275924482683,8.407744726647444,0.22689887152777774,"24.01,26.93,27.98,28.49,28.7,28.74,28.74,28.74",28.74,0.8716,0.0,0.0,25.21,0.8158,0.0,0.0,28.74,0.8716,0.0,0.0
8,bosphorus,bosphorus_32_2,300,0:15:21.641028,huffman,0.0664527416229248,0.7160921096801758,7.381732328641035,8.21392250998025,5.932497624662353,6.456932655871512,157.47456431388858,3.364674568176269,0.5249152143796285,0.011215581893920898,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E2,1.370377419054365,1.3734224505400172,0.03706439887152778,"23.32,26.34,26.96,27.23,27.36,27.38,27.38,27.38",27.38,0.8515,0.0,0.0,27.26,0.8495,0.0,0.0,27.38,0.8515,0.0,0.0
9,honeybee,honeybee_8_2,300,0:16:36.994659,huffman,0.06593680381774902,2.611703634262085,7.33429887025186,8.152313201844537,5.9035520438019145,6.4214289323043054,157.22939562797546,3.343363046646118,0.5240979854265849,0.011144543488820394,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,32,0.28_1.48_1.49,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M8_E2,7.895236576296332,8.361705378461092,0.2256564127604167,"23.21,27.69,29.31,30.3,30.71,30.77,30.77,30.77",30.77,0.9617,0.0,0.0,30.74,0.9616,0.0,0.0,30.77,0.9617,0.0,0.0
